# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 27 07:01:44 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_logg,st_dens,sy_dist
24 Sex c,24 Sex,Radial Velocity,2010,883.00000000,2.080000,13.900,0.559000,0.290000,,5098.00,4.90,1.54,3.50,,72.0691000
2M0437 b,2MASS J04372171+2651014,Imaging,2021,,118.000000,13.000,3.180000,,1450,3100.00,0.84,0.17,4.50,3.32018,128.4840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,,84.000000,12.300,12.200000,,,,,0.19,,,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,,52.000000,11.209,30.400000,,1600,3530.00,0.37,0.40,4.86,10.11868,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,,156.000000,16.141,5.770000,,,3064.00,0.28,0.11,4.59,17.67076,40.0896412
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,,15.000000,12.600,6.550000,,,2936.00,0.23,0.02,5.01,22.78110,120.4239870
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,,55.000000,12.900,4.070000,,1250,2825.00,0.22,0.02,5.03,25.27945,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,406.00000000,0.920000,13.400,1.380000,0.330000,,29564.00,0.20,0.48,5.51,,396.3320000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,,230.000000,12.300,11.700000,,,4045.00,0.64,0.60,4.62,3.36994,69.5737000
30 Ari B b,30 Ari B,Radial Velocity,2009,335.10001000,0.990000,12.300,13.000000,0.290000,,6331.00,1.41,1.93,4.43,0.74300,44.6570000
4 UMa b,4 UMa,Radial Velocity,2006,270.27000000,0.877000,12.600,6.900000,0.453000,,4415.00,18.11,1.23,1.80,,73.4603000
42 Dra b,42 Dra,Radial Velocity,2008,479.10000000,1.190000,13.000,3.080000,0.380000,,4200.00,22.03,0.98,1.71,,90.6545000
47 UMa b,47 UMa,Radial Velocity,1996,1078.00000000,2.100000,13.200,1.920000,0.032000,,5872.00,1.21,1.06,4.30,0.83662,13.7967000
47 UMa c,47 UMa,Radial Velocity,2001,2391.00000000,3.600000,14.200,0.329000,0.098000,,5872.00,1.21,1.06,4.30,0.83662,13.7967000
47 UMa d,47 UMa,Radial Velocity,2009,14002.00000000,11.600000,13.500,1.160000,0.160000,,5872.00,1.21,1.06,4.30,0.83662,13.7967000
51 Eri b,51 Eri,Imaging,2015,11688.00000000,13.200000,13.400,1.450000,0.450000,700,7295.00,1.49,1.75,4.31,0.70712,29.7575000
51 Peg b,51 Peg,Radial Velocity,1995,4.23078500,0.052700,14.300,0.275000,0.013000,,5758.00,1.18,1.03,4.31,0.89374,15.4614000
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65160000,0.113400,13.900,0.540000,0.000000,700,5172.00,0.94,0.91,4.43,1.41851,12.5855000
55 Cnc c,55 Cnc,Radial Velocity,2004,44.39890000,0.237300,8.510,0.486000,0.030000,,5172.00,0.94,0.91,4.43,1.41851,12.5855000
55 Cnc d,55 Cnc,Radial Velocity,2002,5574.20000000,5.957000,13.000,3.080000,0.130000,,5172.00,0.94,0.91,4.43,1.41851,12.5855000
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654740,0.015440,1.875,6.660000,0.050000,1958,5172.00,0.94,0.91,4.43,1.52120,12.5855000
55 Cnc f,55 Cnc,Radial Velocity,2007,259.88000000,0.770800,7.590,0.563000,0.080000,,5172.00,0.94,0.91,4.43,1.41851,12.5855000
6 Lyn b,6 Lyn,Radial Velocity,2008,919.86000000,2.028000,13.400,1.370000,0.042000,,4941.00,4.94,1.32,3.16,,54.6599000
61 Vir b,61 Vir,Radial Velocity,2009,4.21500000,0.050201,2.110,2.980000,0.120000,,5577.00,0.96,0.94,4.34,1.44933,8.5033200
61 Vir c,61 Vir,Radial Velocity,2009,38.02100000,0.217500,4.460,1.130000,0.140000,,5577.00,0.96,0.94,4.34,1.44933,8.5033200
61 Vir d,61 Vir,Radial Velocity,2009,123.01000000,0.476000,5.110,0.943000,0.350000,,5577.00,0.96,0.94,4.34,1.44933,8.5033200
7 CMa b,7 CMa,Radial Velocity,2011,735.10000000,1.758000,13.400,1.340000,0.060000,,4826.00,4.87,1.34,3.19,,19.8101000
7 CMa c,7 CMa,Radial Velocity,2019,996.00000000,2.153000,13.900,0.566000,0.080000,,4826.00,4.87,1.34,3.19,,19.8101000
70 Vir b,70 Vir,Radial Velocity,1996,116.68800000,0.481000,12.600,6.540000,0.398800,,5495.00,1.89,1.09,3.95,0.19024,17.9011000
75 Cet b,75 Cet,Radial Velocity,2012,696.62000000,1.912000,13.300,1.840000,0.093000,,4809.00,10.38,1.92,2.69,,82.9613000
75 Cet c,75 Cet,Radial Velocity,2023,2051.62000000,3.929000,13.900,0.593000,0.023000,,4809.00,10.38,1.92,2.69,,82.9613000
8 UMi b,8 UMi,Radial Velocity,2015,93.40000000,0.490000,13.600,0.910000,0.060000,,4847.00,10.30,1.44,2.57,,162.5520000
81 Cet b,81 Cet,Radial Velocity,2008,1005.57000000,2.104000,13.100,2.570000,0.037000,,4734.00,11.21,1.23,2.41,,101.2600000
91 Aqr b,91 Aqr,Radial Velocity,2013,181.40000000,0.700000,13.100,2.490000,0.027000,,4665.00,11.00,1.40,2.52,,44.0304000
AB Aur b,AB Aur,Imaging,2022,,93.900000,12.500,8.050000,0.400000,,9770.00,2.96,2.40,3.77,0.10330,162.1270000
AB Pic b,AB Pic,Imaging,2005,,260.000000,12.300,12.700000,,,5285.00,1.00,0.90,4.53,1.12014,50.0475000
AF Lep b,AF Lep,Imaging,2023,8030.00000000,8.400000,13.100,2.490000,0.240000,1400,6130.00,1.25,1.20,4.40,1.45415,26.8564000
AU Mic b,AU Mic,Transit,2020,8.46299910,0.064500,3.957,1.320000,0.186000,600,3665.00,0.82,0.50,4.40,1.75000,9.7221000
AU Mic c,AU Mic,Transit,2021,18.85899100,0.110100,3.240,1.220000,0.003380,459,3665.00,0.82,0.50,4.40,1.75000,9.7221000
AU Mic d,AU Mic,Transit Timing Variations,2023,12.73596000,,1.020,5.450000,0.003050,,3678.00,0.74,0.51,4.40,1.75000,9.7221000
BD+03 2562 b,BD+03 2562,Radial Velocity,2017,481.90000000,1.300000,12.700,5.460000,0.200000,,4095.00,32.35,1.14,1.89,,1070.6300000
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,268.94000000,0.780000,13.800,0.691000,0.290000,,4864.00,0.86,0.49,4.26,1.73113,49.3520000
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,153.22000000,0.576000,13.800,0.705000,0.001000,,4649.00,8.95,1.08,2.61,,768.0450000
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,137.48000000,0.539000,13.700,0.754000,0.260000,,4796.00,14.70,1.10,2.80,,426.4200000
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,379.63000000,1.450000,12.100,21.100000,0.150000,,4137.00,49.00,2.80,1.51,,1539.7100000
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,621.99000000,2.010000,12.400,11.400000,0.180000,,4137.00,49.00,2.80,1.51,,1539.7100000
BD+20 274 b,BD+20 274,Radial Velocity,2012,578.20000000,1.300000,13.000,3.340000,0.210000,,4296.00,17.30,0.80,1.99,,1322.5100000
BD+20 594 b,BD+20 594,Transit,2016,41.68550000,0.241000,2.578,7.890000,0.000000,546,5766.00,1.08,1.67,4.50,1.89000,179.4610000
BD+45 564 b,BD+45 564,Radial Velocity,2021,307.88000000,0.830000,13.600,0.944000,0.120000,,5004.00,0.81,0.81,4.22,2.22951,53.6220000
BD+48 738 b,BD+48 738,Radial Velocity,2011,392.60000000,1.000000,13.900,0.592000,0.200000,,4414.00,11.00,0.74,2.24,,871.4930000
BD+48 740 b,BD+48 740,Radial Velocity,2018,733.00000000,1.700000,13.500,1.210000,0.760000,,4534.00,10.33,1.09,2.48,,666.5890000
BD+49 828 b,BD+49 828,Radial Velocity,2015,2590.00000000,4.200000,13.500,1.140000,0.350000,,4943.00,7.60,1.52,2.85,,442.0420000
BD+55 362 b,BD+55 362,Radial Velocity,2021,265.59000000,0.780000,14.000,0.458000,0.270000,,5012.00,0.90,0.91,4.09,1.66486,52.5697000
BD+60 1417 b,BD+60 1417,Imaging,2021,,1662.000000,14.684,8.270000,,1303,4993.00,0.80,1.00,4.55,2.30875,44.9543000
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,1198.48000000,2.060000,12.400,9.530000,0.880000,,5000.00,0.80,0.82,4.20,2.29955,38.0473000
BD-00 4475 b,BD-00 4475,Radial Velocity,2021,723.20000000,1.480000,12.000,25.300000,0.390000,,5040.00,0.84,0.81,4.25,2.05330,42.6402000
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,3.87280000,0.042800,2.850,2.020000,0.000000,,4324.00,0.69,0.70,4.74,2.74700,20.2695000
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,125.94000000,0.435000,8.380,0.495000,0.310000,,4324.00,0.69,0.70,4.74,2.74700,20.2695000
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,5.60000000,0.060000,3.610,1.480000,0.150000,,4816.00,0.71,0.50,4.43,3.31801,41.3342000
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,237.60000000,0.680000,12.500,0.293000,0.190000,,4746.00,0.72,0.74,4.13,3.31801,41.3342000
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.48777000,0.040000,14.100,0.368000,0.020000,,5393.00,0.91,1.47,4.69,1.53276,84.4069000
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,1634.00000000,2.360000,14.100,0.405000,0.050000,,4550.00,0.64,0.65,4.64,3.53000,27.1665000
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,74.20000000,0.300000,4.040,1.280000,0.400000,,4550.00,0.64,0.65,4.64,3.53000,27.1665000
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,714.29999000,1.660000,12.500,8.750000,0.210000,,4545.00,19.17,2.12,2.20,,925.2140000
BD-17 63 b,BD-17 63,Radial Velocity,2008,655.60000000,1.340000,12.800,4.250000,0.540000,,4714.00,0.69,0.74,4.26,2.75844,34.4603000
BD-210397 b,BD-210397,Radial Velocity,2023,1891.00000000,2.630000,14.000,0.429000,0.100000,,4051.00,0.75,0.68,4.67,2.23897,23.7324000
BD-210397 c,BD-210397,Radial Velocity,2023,6240.00000000,5.900000,12.900,3.910000,0.430000,,4051.00,0.75,0.69,4.67,2.23897,23.7324000
CD Cet b,CD Cet,Radial Velocity,2020,2.29070000,0.018500,1.820,3.600000,,464,3130.00,0.17,0.16,4.93,30.35878,8.6071500
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011,10037.50000000,2.600000,12.400,9.620000,,370,580.50,,0.02,4.72,,23.1000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2021,8040000.00000000,200.000000,20.849,1.500000,,1800,2320.00,0.24,0.01,3.85,,
CHXR 73 b,CHXR 73,Imaging,2006,,210.000000,12.300,11.800000,,,3099.00,,0.35,,,190.3740000
CI Tau c,CI Tau,Radial Velocity,2024,25.20000000,0.170000,13.000,2.860000,0.580000,,3807.00,1.88,0.90,,,157.9980000
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,402000000.00000000,7506.000000,12.442,5.710000,,434,3406.00,0.39,0.37,4.83,9.13895,10.8864000
CT Cha b,CT Cha,Imaging,2007,,440.000000,24.660,1.980000,,2600,4403.00,1.68,,3.66,,190.7200000
CoRoT-1 b,CoRoT-1,Transit,2008,1.50895570,0.027520,16.700,0.380000,0.000000,1898,5950.00,1.11,0.95,4.25,0.93000,787.9090000
CoRoT-10 b,CoRoT-10,Transit,2010,13.24060000,0.105500,10.870,3.700000,0.530000,600,5075.00,0.79,0.89,4.65,3.32000,338.3860000
CoRoT-11 b,CoRoT-11,Transit,2010,2.99433000,0.043600,16.030,0.990000,0.000000,1657,6440.00,1.37,1.27,4.22,0.69000,655.0370000
CoRoT-12 b,CoRoT-12,Transit,2010,2.82804200,0.040160,16.140,0.411000,0.070000,1442,5675.00,1.12,1.08,4.38,1.08000,1126.3700000
CoRoT-13 b,CoRoT-13,Transit,2010,4.03519000,0.051000,9.920,2.340000,0.000000,1700,5945.00,1.01,1.09,4.46,1.46800,1148.9300000
CoRoT-14 b,CoRoT-14,Transit,2010,1.51214000,0.027000,12.220,7.300000,0.000000,1952,6035.00,1.21,1.13,4.35,0.91000,1744.6000000
CoRoT-16 b,CoRoT-16,Transit,2011,5.35227000,0.061800,13.110,0.440000,0.330000,,5650.00,1.19,1.10,4.36,0.93000,732.4090000
CoRoT-17 b,CoRoT-17,Transit,2011,3.76810000,0.046100,11.430,2.820000,0.000000,1626,5740.00,1.59,1.04,4.40,0.32000,1176.1200000
CoRoT-18 b,CoRoT-18,Transit,2011,1.90006930,0.029500,14.680,2.200000,0.080000,1550,5440.00,1.00,0.95,4.40,1.35000,764.8890000
CoRoT-19 b,CoRoT-19,Transit,2011,3.89713000,0.051800,14.460,0.710000,0.047000,2000,6090.00,1.65,1.21,4.07,0.38000,790.6630000
CoRoT-2 b,CoRoT-2,Transit,2008,1.74299350,0.027980,16.432,1.470000,0.014300,1521,5625.00,0.91,0.96,4.53,1.81400,213.2830000
CoRoT-20 b,CoRoT-20,Transit,2011,9.24285000,0.090000,9.416,8.870000,0.590000,1024,5880.00,1.02,1.14,4.35,1.51000,844.0610000
CoRoT-20 c,CoRoT-20,Radial Velocity,2018,1675.00000000,2.900000,12.200,16.400000,0.600000,,4947.50,1.37,1.14,4.35,1.51000,844.0610000
CoRoT-21 b,CoRoT-21,Transit,2012,2.72474000,0.041700,14.572,1.360000,0.000000,,6200.00,1.95,1.29,3.70,0.25500,1398.8341969
CoRoT-22 b,CoRoT-22,Transit,2014,9.75598000,0.092000,4.880,0.249000,0.077000,885,5939.00,1.14,1.10,4.36,1.02700,627.1580000
CoRoT-23 b,CoRoT-23,Transit,2011,3.63130000,0.048000,11.770,3.000000,0.160000,1660,5900.00,1.61,1.14,4.30,0.50000,1060.9700000
CoRoT-24 b,CoRoT-24,Transit,2014,5.11340000,0.056000,3.700,0.900000,0.000000,1070,4950.00,0.86,0.91,4.55,1.94863,591.5550000
CoRoT-24 c,CoRoT-24,Transit,2014,11.75900000,0.098000,5.000,1.300000,0.000000,850,4950.00,0.86,0.91,4.55,1.94863,591.5550000
CoRoT-25 b,CoRoT-25,Transit,2013,4.86069000,0.057800,12.110,0.150000,0.000000,1330,6040.00,1.19,1.09,4.31,0.64637,1103.4800000
CoRoT-26 b,CoRoT-26,Transit,2013,4.20474000,0.052600,14.120,0.280000,0.000000,1600,5590.00,1.79,1.09,3.99,,1045.1800000
CoRoT-27 b,CoRoT-27,Transit,2014,3.57532000,0.047600,11.287,12.600000,0.065000,1500,5900.00,1.08,1.05,4.40,1.24000,1010.2800000
CoRoT-28 b,CoRoT-28,Transit,2015,5.20851000,0.060300,10.705,0.690000,0.047000,,5150.00,1.78,1.01,3.60,0.27000,766.1830000
CoRoT-29 b,CoRoT-29,Transit,2015,2.85057000,0.038600,10.088,1.450000,0.082000,,5260.00,0.90,0.97,4.30,1.82500,806.5070000
CoRoT-3 b,CoRoT-3,Transit,2008,4.25680000,0.057830,11.320,26.400000,0.000000,1695,6740.00,1.56,1.37,4.22,0.43100,768.7710000
CoRoT-30 b,CoRoT-30,Transit,2020,9.06005000,0.084400,11.310,3.450000,0.007000,,5650.00,0.91,0.98,4.40,1.54162,1032.2300000
CoRoT-31 b,CoRoT-31,Transit,2020,4.62941000,0.058600,16.365,0.330000,0.020000,,5700.00,2.15,1.25,3.85,0.15180,2005.7600000
CoRoT-35 b,CoRoT-35,Transit,2022,3.22748000,0.042900,18.831,0.290000,0.000000,1747,6390.00,1.65,1.01,4.01,0.44716,1123.2100000
CoRoT-36 b,CoRoT-36,Transit,2022,5.61653100,0.066000,15.805,0.250000,0.000000,1567,6730.00,1.52,1.32,4.16,0.23732,925.9580000
CoRoT-4 b,CoRoT-4,Transit,2008,9.20205000,0.090000,13.340,0.525000,0.000000,1074,6190.00,1.17,1.16,4.41,1.11000,726.4120000
CoRoT-5 b,CoRoT-5,Transit,2009,4.03789620,0.049470,15.558,0.217000,0.090000,1438,6100.00,1.19,1.00,4.19,1.01000,882.4720000
CoRoT-6 b,CoRoT-6,Transit,2009,8.88659300,0.085500,13.068,2.320000,0.100000,1017,6090.00,1.03,1.05,4.43,1.31000,645.2940000
CoRoT-7 b,CoRoT-7,Transit,2009,0.85359163,0.017016,1.681,9.355000,0.000000,1756,5275.00,0.83,0.82,4.50,2.00000,159.9060000
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,3.69800000,0.046000,2.830,2.040000,0.000000,,5256.00,0.86,0.90,4.52,1.96324,159.9060000
CoRoT-7 d,CoRoT-7,Radial Velocity,2022,8.96600000,,4.310,1.180000,,,5250.00,0.84,0.92,4.57,2.35400,159.9060000
CoRoT-8 b,CoRoT-8,Transit,2010,6.21229000,0.063000,6.390,1.600000,0.000000,870,5080.00,0.77,0.88,4.58,2.70000,322.0370000
CoRoT-9 b,CoRoT-9,Transit,2009,95.27265600,0.402100,11.949,0.860000,0.133000,420,5625.00,0.96,0.96,4.54,1.51000,412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,Transit,2017,6.71837000,0.071000,6.389,1.100000,,938,5970.00,0.79,1.08,4.67,1.57283,576.6830000
DE CVn b,DE CVn,Eclipse Timing Variations,2018,4098.10000000,5.750000,12.400,11.000000,0.000000,,3579.00,0.42,0.51,4.80,7.71066,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,2013,246.36000000,0.360000,11.900,29.500000,0.345000,,,,0.07,,,20.7700000
DH Tau b,DH Tau,Imaging,2004,,330.000000,30.264,0.693000,,2200,4371.00,0.27,0.33,4.00,0.37705,134.8460000
DMPP-1 b,DMPP-1,Radial Velocity,2019,18.57000000,0.146200,5.290,0.901000,0.083000,877,6196.00,1.26,1.21,4.41,0.81281,62.5388000
DMPP-1 c,DMPP-1,Radial Velocity,2019,6.58400000,0.073300,3.060,1.840000,0.057000,1239,6196.00,1.26,1.21,4.41,0.81281,62.5388000
DMPP-1 d,DMPP-1,Radial Velocity,2019,2.88200000,0.042200,1.650,4.100000,0.070000,1632,6196.00,1.26,1.21,4.41,0.81281,62.5388000
DMPP-1 e,DMPP-1,Radial Velocity,2019,5.51600000,0.065100,1.860,3.530000,0.070000,1314,6196.00,1.26,1.21,4.41,0.81281,62.5388000
DMPP-2 b,DMPP-2,Radial Velocity,2019,5.20720000,0.066400,14.300,0.261000,0.078000,1000,6500.00,1.78,1.44,4.10,0.24354,137.9400000
DMPP-3 A b,DMPP-3 A,Radial Velocity,2019,6.67320000,0.066200,1.410,5.060000,0.140000,854,5138.00,0.91,0.87,4.30,,45.2300000
DMPP-4 b,DMPP-4,Radial Velocity,2023,3.49820000,0.048530,3.530,1.520000,0.063000,,6400.00,1.38,1.25,4.24,0.64076,25.3284000
DP Leo b,DP Leo,Eclipse Timing Variations,2009,10220.00000000,8.190000,12.700,5.350000,0.390000,,13500.00,0.01,0.69,,,305.6840000
DS Tuc A b,DS Tuc A,Transit,2019,8.13826800,,5.700,,0.000000,850,5428.00,0.96,1.01,4.60,2.40000,44.0622000
EPIC 201170410.02,EPIC 201170410,Transit,2020,6.79870000,0.034900,1.047,5.510000,0.000000,,3648.00,0.28,0.29,5.00,,134.0000000
EPIC 201238110 b,EPIC 201238110,Transit,2019,28.16560000,,1.870,3.500000,,,3587.00,0.37,0.41,4.78,6.73294,159.2590000
EPIC 201427007 b,EPIC 201427007,Transit,2021,0.72091000,,1.500,4.660000,,,5633.00,0.94,0.93,4.40,1.02055,706.3910000
EPIC 201497682 b,EPIC 201497682,Transit,2019,2.13174000,,0.692,4.310000,,,4991.00,0.55,0.78,4.63,3.22926,253.0260000
EPIC 201595106 b,EPIC 201595106,Transit,2021,0.87721400,,1.300,5.600000,,1874,5820.00,0.93,1.02,4.60,1.47541,232.1000000
EPIC 201615463 c,K2-166,Transit,2019,3.80464000,,1.220,5.990000,,,5942.50,1.60,1.07,4.09,0.42293,476.8820000
EPIC 201754305 d,K2-16,Transit,2019,2.71578000,,1.030,5.430000,,,4761.00,0.54,0.67,4.63,2.95996,334.9670000
EPIC 201757695.02,EPIC 201757695,Transit,2020,2.04780000,0.029600,0.908,5.050000,0.000000,,4520.00,0.66,0.73,4.66,,577.6000000
EPIC 201833600 c,K2-50,Transit,2019,3.96151000,,1.000,5.340000,,,4292.67,0.63,0.61,4.74,2.55179,257.4430000
EPIC 201841433 b,EPIC 201841433,Transit,2019,4.16980000,0.035000,1.040,5.470000,,,5053.00,0.63,0.80,4.59,2.65207,436.4880000
EPIC 205950854 c,K2-168,Transit,2019,8.05072200,,1.310,5.550000,,961,5502.70,0.83,0.88,4.39,1.27040,243.9350000
EPIC 206024342 b,EPIC 206024342,Transit,2019,4.50756000,,1.700,3.950000,,,5724.00,0.82,0.93,4.59,2.38280,369.8880000
EPIC 206024342 c,EPIC 206024342,Transit,2021,0.91172400,,1.400,5.090000,,,5724.00,1.10,0.93,4.50,2.38280,369.8880000
EPIC 206024342 d,EPIC 206024342,Transit,2021,14.64753100,,2.600,2.270000,,,5724.00,1.10,0.93,4.50,2.38280,369.8880000
EPIC 206032309 b,EPIC 206032309,Transit,2019,2.87814000,,1.010,5.390000,,,3489.00,0.37,0.22,4.85,9.77858,161.3650000
EPIC 206042996 b,EPIC 206042996,Transit,2019,5.29860000,,1.700,3.950000,,,4114.00,0.50,0.57,4.80,2.90458,451.7690000
EPIC 206042996 c,EPIC 206042996,Transit,2021,0.35488400,,1.200,5.950000,,,4114.00,0.50,0.57,4.80,2.90458,451.7690000
EPIC 206215704 b,EPIC 206215704,Transit,2019,2.25543600,,1.000,5.340000,,,3297.00,0.25,0.41,4.90,19.87982,109.8880000
EPIC 206317286 b,EPIC 206317286,Transit,2019,1.58252000,,0.960,5.220000,,,4864.00,0.67,0.71,4.60,2.51975,314.3500000
EPIC 206317286 c,EPIC 206317286,Transit,2022,17.51547200,,2.094,3.010000,,,4752.00,0.76,0.83,4.60,2.51975,314.3500000
EPIC 211822797 b,EPIC 211822797,Transit,2016,21.17019630,0.119500,1.920,3.380000,0.060000,431,4057.00,0.58,0.62,4.70,3.87972,186.1970000
EPIC 211945201 b,EPIC 211945201,Transit,2018,19.49221000,0.149300,5.760,0.650000,0.000000,817,6069.00,1.39,1.17,4.22,2.25300,181.6900000
EPIC 212297394 b,EPIC 212297394,Transit,2019,2.28936300,,1.480,4.730000,,1149,5171.00,0.80,0.83,4.55,2.50384,418.3950000
EPIC 212297394 c,EPIC 212297394,Transit,2016,5.21396500,,2.270,2.710000,,866,5171.00,0.80,0.83,4.55,2.50384,418.3950000
EPIC 212424622 b,EPIC 212424622,Transit,2019,18.09830000,,2.170,2.880000,,,5782.33,1.22,1.11,4.30,0.84195,611.8040000
EPIC 212499991 b,EPIC 212499991,Transit,2019,34.88500000,,1.600,4.280000,,,4982.79,0.76,0.91,4.61,2.81669,283.2900000
EPIC 212587672 b,EPIC 212587672,Transit,2019,15.28078000,,1.260,5.850000,,756,6004.00,0.98,0.99,4.45,1.85888,320.0700000
EPIC 212587672 c,EPIC 212587672,Transit,2016,23.22855500,,2.320,2.640000,,658,6004.00,0.98,0.99,4.45,1.85888,320.0700000
EPIC 212624936 b,EPIC 212624936,Transit,2021,0.57865700,,1.200,5.950000,,,5765.00,0.93,1.00,4.40,1.85537,561.9290000
EPIC 212624936 c,EPIC 212624936,Transit,2021,11.81143700,,2.300,2.660000,,,5765.00,0.93,1.00,4.40,1.85537,561.9290000
EPIC 212737443 b,EPIC 212737443,Transit,2019,13.60300000,0.098000,2.586,2.290000,0.200000,536,4684.00,0.67,0.69,4.62,3.19000,336.2500000
